QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event,Event type,A priori,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2005,Mar,2005,Nov,21,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2005,Nov,2005,Dec,15,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2005,Dec,2006,Mar,12,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2006,Mar,2007,Mar,13,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2007,Mar,2007,Nov,12,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2007,Nov,2008,Mar,11,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,299,Sheaves and Johnson 2010,MH,0,0,0,1,0,0,0,0,0,0,18,mm,fish,nearshore subtidal,-19.26913056,146.7877694,"Queensland, Australia",No,NA,NA,,This is in an estuarine lake ,0,0,0,0,1,Table 1,Keyatta,1,1,30,30,NA,NA,,,,,NA,NA,0.1875,km^2,128.7,m,2008,Mar,2008,Nov,12,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,No,No,No,,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Xatt l-Ahmar,1,1,NA,NA,4250,3926,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,June,2003,June,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,No,No,No,,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Xatt l-Ahmar,1,1,NA,NA,6945,10092,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,Jan,2003,Jan,7,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,No,No,No,,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Selmun,1,1,NA,NA,2250,1096,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,June,2003,June,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,No,No,No,,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Selmun,1,1,NA,NA,2611,2231,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,Jan,2003,Jan,5,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,No,No,No,,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Salini,1,1,NA,NA,2646,2827,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,June,2003,June,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,No,No,No,,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Salini,1,1,NA,NA,375,69615,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,Jan,2003,Jan,5,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,Yes,Wrack removal,Negative,Annually,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Fomm ir-Rih,1,1,NA,NA,764,813,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,June,2003,June,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,Yes,Wrack removal,Negative,Annually,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Fomm ir-Rih,1,1,NA,NA,167,175,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,Jan,2003,Jan,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,Yes,Wrack removal,Negative,Annually,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Qarraba,1,1,NA,NA,1278,950,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,June,2003,June,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,Yes,Wrack removal,Negative,Annually,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,Qarraba,1,1,NA,NA,1084,980,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,Jan,2003,Jan,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,Yes,Wrack removal,Negative,Annually,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,White Tower Bay,1,1,NA,NA,167,780,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,June,2003,June,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,378,Deidun et al 2009,MH,0,0,0,0,1,1,0,0,0,0,0,0,"All types of beach inverts like Coleoptera, Diptera, Gastropoda, Isopoda, Polychaeta",beach,35.93656389,14.33263056,Malta,Yes,Wrack removal,Negative,Annually,"Fomm, Qarrab, White are all beaches that they remove the wrack from over winter.  We might want to just use the other 3 sites.",1,0,0,0,1,Table 1,White Tower Bay,1,1,NA,NA,306,1111,,,,,NA,NA,104.3532,km^2,0.004,m^3,2002,Jan,2003,Jan,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Jan,2003,Jan,7.318181818,1,SE,5.681818182,0.681818182,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Jan,2003,Jan,7.318181818,0.454545455,SE,8.045454545,2.136363636,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Feb,2003,Feb,5.272727273,0.409090909,SE,5.636363636,1.590909091,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Feb,2003,Feb,3.545454545,0.409090909,SE,6.318181818,1.409090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Mar,2003,Mar,5.318181818,0.954545455,SE,3.227272727,1.363636364,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Mar,2003,Mar,5.318181818,0.363636364,SE,3.909090909,0.772727273,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Apr,2003,Apr,8.363636364,1.590909091,SE,6.318181818,1.545454545,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Apr,2003,Apr,9,2.636363636,SE,5.318181818,0.727272727,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,May,2003,May,8.363636364,1.909090909,SE,10.45454545,0.727272727,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,May,2003,May,11.09090909,0.681818182,SE,9.409090909,1.545454545,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Jun,2003,Jun,14.45454545,1.272727273,SE,10.45454545,2.909090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Jun,2003,Jun,13.18181818,1.590909091,SE,11.77272727,2.409090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Jul,2003,Jul,14.81818182,0.909090909,SE,12.18181818,1.045454545,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Jul,2003,Jul,14.81818182,0.727272727,SE,14.45454545,0.409090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Aug,2003,Aug,14.45454545,2.818181818,SE,14.5,0.909090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Aug,2003,Aug,13.18181818,0.954545455,SE,15.45454545,1.318181818,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Sep,2003,Sep,11.13636364,0.636363636,SE,15.5,0.954545455,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Sep,2003,Sep,14.09090909,1.363636364,SE,12.86363636,1.181818182,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Oct,2003,Oct,11.77272727,0.772727273,SE,11.81818182,1.909090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Oct,2003,Oct,10.77272727,1.409090909,SE,13.77272727,2.454545455,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Nov,2003,Nov,10.45454545,0.409090909,SE,6.318181818,3.363636364,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Nov,2003,Nov,8.727272727,1.318181818,SE,8.318181818,1.045454545,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Dec,2003,Dec,7,1.090909091,SE,10.36363636,0.818181818,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2002,Dec,2003,Dec,6.636363636,1.363636364,SE,6.681818182,0.954545455,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Jan,2004,Jan,5.681818182,0.681818182,SE,5.636363636,0.409136364,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Jan,2004,Jan,8.045454545,2.136363636,SE,5.954545455,1.136363636,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Feb,2004,Feb,5.636363636,1.590909091,SE,5.954545455,0.681818182,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Feb,2004,Feb,6.318181818,1.409090909,SE,3.590909091,1,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Mar,2004,Mar,3.227272727,1.363636364,SE,2.545454545,1,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Mar,2004,Mar,3.909090909,0.772727273,SE,4.272727273,1.409090909,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Apr,2004,Apr,6.318181818,1.545454545,SE,5.272727273,1.363636364,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,Apr,2004,Apr,5.318181818,0.727272727,SE,5.954545455,0.681818182,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,415,Masuda 2007,MH,0,0,0,1,0,0,0,0,0,0,,,All fish spp,rocky subtidal,35.48333333,135.3666667,Japan,No,NA,No,,"Surveys were done every 2 weeks, so there are 2 points per month",1,0,0,0,0,Fig 2,Wasaka Bay,3,3,,,,,,,,,,,,,400,m^2,2003,May,2004,May,10.45454545,0.727272727,SE,9.727272727,2.5,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
