"QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori.","Year.of.Event","Notes","Source","Site","PltSz","PltSz..units.","event_category","expected_change","event_notes","PlotSize","PlotSizeUnits","id","taxa","samp_method","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","temp_id","Scale","AbundUnitsOrig","study_sub_site","studyName","PltSzUnits","SiAreaCalc","SiLinearExtentUnits","Event_type","Lat","Long","A_priori","Year_of_Event"
"JD","304","Whanpetch et al, 2010","JD",NA,NA,"polychaetes, gastropods","seagrass","Khlong Khura, Phang-nga Province, Thailand","Yes","Tsunami","Yes","2004",NA,"Figure 4","K2 veg",2540,"cm^3","Tsunami","Negative","",0.00254,"m^3",278,"Mixed","Drdg",5,1,181.6216216,"86.48648649","SD",NA,2001,1,9.182389937,3.647798742,"SD",NA,NA,NA,0.830409357,0.046783626,"SD",NA,NA,NA,3.647798742,NA,0.046783626,NA,5,1,566.4864865,"181.6216216","SD",NA,2005,2,15.59748428,3.899371069,"SD",NA,NA,NA,0.812865497,0.081871345,"SD",NA,NA,NA,3.899371069,NA,0.081871345,NA,4,6.415094343,5.7023060791782,1.53374382477807,0.517618506002243,0.529822124677967,0.0440631450472868,1.53374382477807,0.527773167123594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","304","Whanpetch et al, 2010","JD",NA,NA,"polychaetes, gastropods","seagrass","Khlong Khura, Phang-nga Province, Thailand","Yes","Tsunami","Yes","2004","There was no K3 veg compared over  years","Figure 4","K3 non-veg",2540,"cm^3","Tsunami","Negative","",0.00254,"m^3",280,"Mixed","Drdg",5,1,164.3243243,"64.86486486","SD",NA,2001,1,10.44025157,3.773584906,"SD",NA,NA,NA,0.859649123,0.046783626,"SD",NA,NA,NA,3.773584906,NA,0.046783626,NA,5,1,47.56756757,"25.94594595","SD",NA,2005,2,3.522012579,1.257861635,"SD",NA,NA,NA,0.67251462,0.105263158,"SD",NA,NA,NA,1.257861635,NA,0.105263158,NA,4,-6.918238991,3.16443178711918,-2.22035661836677,0.646499175636256,-1.08663609728957,0.0516388149123549,-2.22035661836677,0.819211131945664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","305","Ecoutin et al. 2010","TI",14,"mm","fish","estuarine mudflat","Sine Saloum Delta Senegal","No",NA,"No",NA,"strictly estuarine species, marine origin spp, marine-estuarine spp, marine spp. accessory in estuaries, marine spp. occasional in estuaries","Table 3","Sine Saloum Delta Senegal",5000,"m^2",NA,NA,"",5000,"m^2",1874,"fish","Trp",8,NA,NA,NA,NA,NA,1992,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2002,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,NA,0.0357180826020792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","307","Hernandez et al 2010","MH",202,"um","ichthyoplankton","coastal shelf","Dauphin Island, AL","No",NA,NA,NA,"Icthyoplankton counted every month","Figure 2","only",0.25,"m^2",NA,NA,"",0.25,"m^2",1327,"Mixed","Trwl",8,NA,NA,NA,NA,NA,2004,8,NA,NA,NA,1.588380661,0.06065039,"SE",NA,NA,NA,NA,NA,NA,NA,0.171545208202435,NA,NA,8,NA,NA,NA,NA,NA,2006,8,NA,NA,NA,1.987005591,0.047819862,"SE",NA,NA,NA,NA,NA,NA,NA,0.13525499478242,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0.39862493,0.00596520900885114,2.43941476525453,0.435960762404432,0.223913732299312,0.00203718818328956,2.43941476525453,0.455549681336606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","309","Shan et al 2010","MH",24,"mm","fish","nearshore subtidal","China, Changjiang Estuary","No",NA,"No",NA,"Unclear if T1 survey is from exact same location or just in the estuary. Also mean SppR is reported but no error","Table 1","All",77045760,"mm^3",NA,NA,"",0.07704576,"m^3",1048,"fish","Drdg",1,32,NA,NA,NA,NA,1985,1,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,NA,NA,NA,NA,2006,1,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2.53,NA,NA,NA,0.806563397049988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","311","Gallegos et al, 2010","JD",NA,NA,"phytoplankton","pelagic","Rhode River, Chesapeake Bay, Maryland","No",NA,"No",NA,"Shannon only calculated for abundant species. Assumed that sampled/counted volume was 1 mL. Estuarine. It also looks like diversity is an average for each year and spans 7 sites from 1.4 km downstream to 6.4 km upstream in the estuary. ","Figure 3","All 7 stations",1,"ml",NA,NA,"",1e-06,"m^3",300,"phytoplankton","Trwl",7,1,NA,NA,NA,NA,1988,2,17.52808989,NA,NA,0.884244373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,2005,2,16.17977528,NA,NA,1.390675241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.34831461,NA,NA,NA,-0.0800427078637073,NA,NA,NA,0.506430868,NA,NA,NA,0.452811228581159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","319","Stefansdottir et al","JD",40,"mm","pelagic and semi-pelagic fishes","pelagic","Icelandic continental shelf and slope","No",NA,"No",NA,"Capelin excluded because of inconsistent sampling, Myctophidae excluded because of uncertainty of IDs, and Paralepididae were combined to family level. Lat/Long falls in the middle of Iceland because that is the centroid of the coastal sampling area. Some data taken from the original masters thesis this paper came from: See Stefansdottir 2008. Approximation of trawled volume. Assumed trawl to be spherical (only vertical height 4-6 m given) towed for an average of 3 nm = 5556 m.","Appendix","All 264 stations",115142544,"m^3",NA,NA,"",115142544,"m^3",317,"fish","Trwl",1,264,NA,NA,NA,NA,1998,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264,NA,NA,NA,NA,2007,10,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,16,NA,NA,NA,0.148420005118273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","FG",250,"m^2",NA,NA,"",250,"m^2",1465,"fish","Vis",4,NA,33.52342623,NA,NA,NA,1994,1,12.72132717,1.000159515,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00031903,NA,NA,NA,4,NA,34.4938559,NA,NA,NA,2006,1,13.69755942,1.271335141,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.542670282,NA,NA,NA,12,0.976232249999999,2.61661209618653,0.370682129173813,0.508587827555552,0.0739377827055377,0.0147957850682139,0.370682129173813,0.512126489107325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","KG",250,"m^2",NA,NA,"",250,"m^2",1464,"fish","Vis",4,NA,58.2865511,NA,NA,NA,1994,1,22.81544106,1.725953103,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.451906206,NA,NA,NA,4,NA,49.89582139,NA,NA,NA,2006,1,19.15137981,0.818312331,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.636624662,NA,NA,NA,12,-3.66406125,3.64854918482198,-1.17820481444084,0.586760411548223,-0.175062780438418,0.00754842662185213,-1.17820481444084,0.625256062583121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","KI",250,"m^2",NA,NA,"",250,"m^2",1461,"fish","Vis",4,NA,24.54146899,NA,NA,NA,1994,1,9.542191737,2.456532142,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.913064284,NA,NA,NA,4,NA,26.25777015,NA,NA,NA,2006,1,9.515074175,1.818471846,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.636943692,NA,NA,NA,12,-0.027117561999999,9.34139001937375,-0.00544958034609125,0.500001856120372,-0.00284590459383858,0.102799711033098,-0.00544958034609125,0.503010241706866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","N",250,"m^2",NA,NA,"",250,"m^2",1463,"fish","Vis",4,NA,43.89610279,NA,NA,NA,1994,1,16.90381241,1.272930292,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.545860584,NA,NA,NA,4,NA,38.97902494,NA,NA,NA,2006,1,15.05981815,5.332748445,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.66549689,NA,NA,NA,12,-1.84399426,30.0585575059411,-0.206582566194371,0.502667272290966,-0.115509035613133,0.131060695464886,-0.206582566194371,0.507827451181166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","NE",250,"m^2",NA,NA,"",250,"m^2",1466,"fish","Vis",4,NA,31.49114947,NA,NA,NA,1994,1,13.17434998,0.727388738,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.454777476,NA,NA,NA,4,NA,34.09821688,NA,NA,NA,2006,1,13.322699,1.008135269,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.016270538,NA,NA,NA,12,0.148349019999999,1.54543109677094,0.0732956210468609,0.50033576550404,0.0111975163847725,0.00877444392961184,0.0732956210468609,0.503379577045747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","SE",250,"m^2",NA,NA,"",250,"m^2",1467,"fish","Vis",4,NA,30.77289545,NA,NA,NA,1994,1,12.08326687,1.276120593,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.552241186,NA,NA,NA,4,NA,34.5777315,NA,NA,NA,2006,1,13.96235444,1.000159515,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00031903,NA,NA,NA,12,1.87908757,2.62880282332371,0.711846221630483,0.5316703152031,0.14454314707018,0.0162848175620055,0.711846221630483,0.536688306413137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","W",250,"m^2",NA,NA,"",250,"m^2",1462,"fish","Vis",4,NA,16.74421835,NA,NA,NA,1994,1,5.812729303,0.910831074,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.821662148,NA,NA,NA,4,NA,20.25289842,NA,NA,NA,2006,1,6.970808741,0.727388738,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.454777476,NA,NA,NA,12,1.158079438,1.35870762153323,0.610229945352872,0.523273786637836,0.181681029634752,0.0354420859791673,0.610229945352872,0.527567443871742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders","Figure 5","LB",1689,"m^3","Multiple","Uncertain","Positive from new habitat/new invaders?",1689,"m^3",1,"fish","Vis",10,NA,NA,NA,NA,NA,2005,1,43.98395722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2007,1,34.75935829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-9.22459893,NA,NA,NA,-0.235376119731481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules","Figure 5","RM",1689,"m^3","Multiple","Uncertain","Positive from new habitat/new invaders?",1689,"m^3",5,"fish","Vis",10,NA,NA,NA,NA,NA,2005,1,30.88235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2007,1,29.27807487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1.60427807,NA,NA,NA,-0.05334598054117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Red Tide","Yes","2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months","Figure 5","Ref",1689,"m^3","Algal Blom","Negative","",1689,"m^3",9,"fish","Vis",10,NA,NA,NA,NA,NA,2005,1,25.13368984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2007,1,31.01604278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.88235294,NA,NA,NA,0.210295408795202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","329","Bui et al. 2010","JD",333,"âµm","ichthyoplankton","pelagic","Gulf of St. Lawrence","No",NA,"No",NA,"Calculated area based off of the assumption that all samples were 150 m long plankton tows, and that there were equal shallow and deep water tows in both years. Only one year had comparable plot size.","Table 2","Anticosti Island Coast",43.81,"m^3",NA,NA,"",43.81,"m^3",326,"zooplankton","Trwl",1,24,NA,NA,NA,NA,2006,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24,NA,NA,NA,NA,2007,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","334","Kedra et al. 2010","JD",NA,NA,"benthic macrofauna, e.g., worms, molluscs","subtidal mudflat","Kongsfjorden, Norway","No",NA,"No",NA,"What counts as an event? Resampling was done in 2006 to look for evidence of a change in community composition either 'natural' or climate driven. 1997 was used as the 'start' year because it looks like values for richness and Shannon were taken as the average of samples from 1997 and 1998. See data acquisition protocol. 1997/1998 data consists of 24 stations sampled with 3 replicate Van Veen grabs each. This is why n is so large for 1997.","Figure 4","CENTR",0.1,"m^2",NA,NA,"",0.1,"m^2",329,"Mixed","Drdg",27,1,483.8724967,"85.15226923","95% CI",NA,1997,6,32.22006176,4.566901642,"95% CI",2.25,0.147058824,"95% CI",NA,NA,NA,NA,NA,NA,12.1073046078271,0.389867379902035,NA,NA,16,1,531.1292807,"102.1211044","95% CI",NA,2006,6,38.10964561,8.188927082,"95% CI",2.573529412,0.294117647,"95% CI",NA,NA,NA,NA,NA,NA,16.7120960857143,0.600240095918367,NA,NA,9,5.88958385,22.8850263853643,0.413844677483521,0.101528518631007,0.167878121139605,0.017248822657426,0.396168091919716,0.112270590648102,0.323529412,0.0281475135342252,0.664781890059144,0.104675815657393,0.134348052622507,0.00451194443967868,0.627475918757822,0.119236302998358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","334","Kedra et al. 2010","JD",NA,NA,"benthic macrofauna, e.g., worms, molluscs","subtidal mudflat","Kongsfjorden, Norway","No",NA,"No",NA,"What counts as an event? Resampling was done in 2006 to look for evidence of a change in community composition either 'natural' or climate driven. 1997 was used as the 'start' year because it looks like values for richness and Shannon were taken as the average of samples from 1997 and 1998. See data acquisition protocol. 1997/1998 data consists of 24 stations sampled with 3 replicate Van Veen grabs each. This is why n is so large for 1997.","Figure 4","GLAC",0.1,"m^2",NA,NA,"",0.1,"m^2",327,"Mixed","Drdg",30,1,534.9211992,"112.5014812","95% CI",NA,1997,6,15.25852261,2.677149238,"95% CI",1.5,0.110294118,"95% CI",NA,NA,NA,NA,NA,NA,7.48130116051207,0.308217226473146,NA,NA,12,1,550.5391634,"131.2714777","95% CI",NA,2006,6,14.54372521,3.149587339,"95% CI",1.477941176,0.375,"95% CI",NA,NA,NA,NA,NA,NA,5.56657683063639,0.66277454371258,NA,NA,9,-0.7147974,4.44789370275747,-0.100083624732972,0.116785913475472,-0.047978563066878,0.0202212192474946,-0.106356796764831,0.105235497229277,-0.0220588239999999,0.0397724366059449,-0.0496933858934582,0.116696064673828,-0.0148150861035485,0.0181659123892531,-0.0418732301514032,0.155752125770106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","334","Kedra et al. 2010","JD",NA,NA,"benthic macrofauna, e.g., worms, molluscs","subtidal mudflat","Kongsfjorden, Norway","No",NA,"No",NA,"What counts as an event? Resampling was done in 2006 to look for evidence of a change in community composition either 'natural' or climate driven. 1997 was used as the 'start' year because it looks like values for richness and Shannon were taken as the average of samples from 1997 and 1998. See data acquisition protocol. 1997/1998 data consists of 24 stations sampled with 3 replicate Van Veen grabs each. This is why n is so large for 1997.","Figure 4","TRANS",0.1,"m^2",NA,NA,"",0.1,"m^2",328,"Mixed","Drdg",24,1,627.9890982,"88.9441877","95% CI",NA,1997,6,38.54488102,3.464546073,"95% CI",2.705882353,0.117647059,"95% CI",NA,NA,NA,NA,NA,NA,8.65956129511555,0.294056392131742,NA,NA,11,1,641.3082119,"131.2714777","95% CI",NA,2006,6,49.63706303,7.244412071,"95% CI",2.580882353,0.294117647,"95% CI",NA,NA,NA,NA,NA,NA,12.2586717684839,0.49769279557204,NA,NA,9,11.09218201,16.7858667603057,1.09589312087877,0.149732639467035,0.252914490070474,0.00764778832301531,1.02120436939742,0.179559778960605,-0.125,0.0261208925364864,-0.332004797537484,0.134150431655585,-0.0472967147020122,0.00387267459960596,-0.298791813238755,0.165473528198024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.5/2)^2)*62 (depth was 62 m to surface). Sampling May - Sept therefore July used as month","Figure 3, Table 2","NH 05 50cm net summer",12.1675,"m^3",NA,NA,"",12.1675,"m^3",2711,"zooplankton","Trwl",8,0,300,NA,NA,NA,1996,6,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,300,NA,NA,NA,2008,6,8.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-1.69,NA,NA,NA,-0.173144603168434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.5/2)^2)*62 (depth was 62 m to surface). Sampling Oct - April therefore January used as month","Figure 3, Table 2","NH 05 50cm net winter",12.1675,"m^3",NA,NA,"",12.1675,"m^3",2723,"zooplankton","Trwl",16,0,300,NA,NA,NA,1997,1,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,300,NA,NA,NA,2008,1,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-1.42,NA,NA,NA,-0.120586962989118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.2/2)^2)*62 (depth was 62 m to surface). Sampling May - Sept therefore July used as month","Figure 3, Table 2","NH 05 75cm net summer",27.376875,"m^3",NA,NA,"",27.376875,"m^3",2708,"zooplankton","Trwl",5,0,300,NA,NA,NA,1990,6,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,300,NA,NA,NA,1992,6,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.87,NA,NA,NA,0.24294617861039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.75/2)^2)*62 (depth was 62 m to surface). Sampling Oct - April, therefore January used as mont","Figure 3, Table 2","NH 05 75cm net winter",27.376875,"m^3",NA,NA,"",27.376875,"m^3",2710,"zooplankton","Trwl",3,0,300,NA,NA,NA,1991,1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,300,NA,NA,NA,1992,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,NA,NA,NA,0.2578291093021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"337","Peterson 2009","JD",240,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.2/2)^2)*62 (depth was 62 m to surface). Sampling May - Sept therefore July used as month","Figure 3, Table 2","NH 05 bongo net summer",1.9468,"m^3",NA,NA,"",1.9468,"m^3",2699,"zooplankton","Trwl",7,0,300,NA,NA,NA,1969,6,7.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,300,NA,NA,NA,1983,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8.11,NA,NA,NA,0.706992587381998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
