"CitationID","StudyID","Site","Latitude","Longitude","DepthElevation","Day","Month","Year","Genus","Species","GenusSpecies","Taxa","Organism","ObsEventID","ObsID","RepeatType","Treatment","ScaleValue","ScaleUnits","Driver","BioType","ValueType","Value","SamplingCount"
"Diez et al. 2011","181_Vis","Gibeleko (GI)",43.44772823,-2.738664875,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.44772823_-2.738664875_NA_8_1991","181_Vis_43.44772823_-2.738664875_NA_8_1991_Gibeleko (GI)","permanent","control",1,"m^2",NA,"marine","richness",10.26216089,1
"Diez et al. 2011","181_Vis","Gibeleko (GI)",43.44772823,-2.738664875,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.44772823_-2.738664875_NA_8_1991","181_Vis_43.44772823_-2.738664875_NA_8_1991_Gibeleko (GI)","permanent","control",1,"m^2",NA,"marine","richness",10.26216089,1
"Diez et al. 2011","181_Vis","Ogono (NO)",43.42199709,-2.64905914,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.42199709_-2.64905914_NA_8_1991","181_Vis_43.42199709_-2.64905914_NA_8_1991_Ogono (NO)","permanent","control",1,"m^2",NA,"marine","richness",12.01384527,1
"Diez et al. 2011","181_Vis","Ogono (NO)",43.42199709,-2.64905914,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.42199709_-2.64905914_NA_8_1991","181_Vis_43.42199709_-2.64905914_NA_8_1991_Ogono (NO)","permanent","control",1,"m^2",NA,"marine","richness",12.01384527,1
"Diez et al. 2011","181_Vis","Elantxobe (EL)",43.40422325,-2.623297491,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.40422325_-2.623297491_NA_8_1991","181_Vis_43.40422325_-2.623297491_NA_8_1991_Elantxobe (EL)","permanent","control",1,"m^2",NA,"marine","richness",11.89741013,1
"Diez et al. 2011","181_Vis","Elantxobe (EL)",43.40422325,-2.623297491,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.40422325_-2.623297491_NA_8_1991","181_Vis_43.40422325_-2.623297491_NA_8_1991_Elantxobe (EL)","permanent","control",1,"m^2",NA,"marine","richness",11.89741013,1
"Diez et al. 2011","181_Vis","Ea (EA)",43.39621104,-2.58297491,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.39621104_-2.58297491_NA_8_1991","181_Vis_43.39621104_-2.58297491_NA_8_1991_Ea (EA)","permanent","control",1,"m^2",NA,"marine","richness",8.374404105,1
"Diez et al. 2011","181_Vis","Ea (EA)",43.39621104,-2.58297491,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.39621104_-2.58297491_NA_8_1991","181_Vis_43.39621104_-2.58297491_NA_8_1991_Ea (EA)","permanent","control",1,"m^2",NA,"marine","richness",8.374404105,1
"Diez et al. 2011","181_Vis","Ogeia (OG)",43.38818575,-2.548252688,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.38818575_-2.548252688_NA_8_1991","181_Vis_43.38818575_-2.548252688_NA_8_1991_Ogeia (OG)","permanent","control",1,"m^2",NA,"marine","richness",14.74144258,1
"Diez et al. 2011","181_Vis","Ogeia (OG)",43.38818575,-2.548252688,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.38818575_-2.548252688_NA_8_1991","181_Vis_43.38818575_-2.548252688_NA_8_1991_Ogeia (OG)","permanent","control",1,"m^2",NA,"marine","richness",14.74144258,1
"Diez et al. 2011","181_Vis","Santa Catalina (CA)",43.38422932,-2.506810036,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.38422932_-2.506810036_NA_8_1991","181_Vis_43.38422932_-2.506810036_NA_8_1991_Santa Catalina (CA)","permanent","control",1,"m^2",NA,"marine","richness",10.22963046,1
"Diez et al. 2011","181_Vis","Santa Catalina (CA)",43.38422932,-2.506810036,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.38422932_-2.506810036_NA_8_1991","181_Vis_43.38422932_-2.506810036_NA_8_1991_Santa Catalina (CA)","permanent","control",1,"m^2",NA,"marine","richness",10.22963046,1
"Diez et al. 2011","181_Vis","Egiluz (EG)",43.36808983,-2.475448029,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.36808983_-2.475448029_NA_8_1991","181_Vis_43.36808983_-2.475448029_NA_8_1991_Egiluz (EG)","permanent","control",1,"m^2",NA,"marine","richness",13.84943435,1
"Diez et al. 2011","181_Vis","Egiluz (EG)",43.36808983,-2.475448029,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.36808983_-2.475448029_NA_8_1991","181_Vis_43.36808983_-2.475448029_NA_8_1991_Egiluz (EG)","permanent","control",1,"m^2",NA,"marine","richness",13.84943435,1
"Diez et al. 2011","181_Vis","Ondarroa (ON)",43.33904293,-2.417204301,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.33904293_-2.417204301_NA_8_1991","181_Vis_43.33904293_-2.417204301_NA_8_1991_Ondarroa (ON)","permanent","control",1,"m^2",NA,"marine","richness",13.40333106,1
"Diez et al. 2011","181_Vis","Ondarroa (ON)",43.33904293,-2.417204301,NA,NA,8,1991,NA,NA,NA,"algae",NA,"181_Vis_43.33904293_-2.417204301_NA_8_1991","181_Vis_43.33904293_-2.417204301_NA_8_1991_Ondarroa (ON)","permanent","control",1,"m^2",NA,"marine","richness",13.40333106,1
"Moreira et al 2010","298_Drdg","No name",42.121944,-8.845833,NA,NA,3,1996,NA,NA,NA,"Mixed","benthic polychaetes, molluscs, crustaceans","298_Drdg_42.121944_-8.845833_NA_3_1996","298_Drdg_42.121944_-8.845833_NA_3_1996_No name","permanent","control",0.056,"m^2","Harbour breakwater built","marine","richness",26.42633229,1
"Moreira et al 2010","298_Drdg","No name",42.121944,-8.845833,NA,NA,3,1996,NA,NA,NA,"Mixed","benthic polychaetes, molluscs, crustaceans","298_Drdg_42.121944_-8.845833_NA_3_1996","298_Drdg_42.121944_-8.845833_NA_3_1996_No name","permanent","control",0.056,"m^2","Harbour breakwater built","marine","richness",26.42633229,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,1986,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_1986","300_Vis_31.719494_-116.650333_NA_9_1986_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",9,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,2001,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_2001","300_Vis_31.719494_-116.650333_NA_9_2001_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",10,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,2002,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_2002","300_Vis_31.719494_-116.650333_NA_9_2002_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",10,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,2003,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_2003","300_Vis_31.719494_-116.650333_NA_9_2003_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",10,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,2004,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_2004","300_Vis_31.719494_-116.650333_NA_9_2004_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",11,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,1985,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_1985","300_Vis_31.719494_-116.650333_NA_9_1985_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",11,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,9,2005,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_9_2005","300_Vis_31.719494_-116.650333_NA_9_2005_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",11,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,2,1986,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_2_1986","300_Vis_31.719494_-116.650333_NA_2_1986_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",9,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,2,2002,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_2_2002","300_Vis_31.719494_-116.650333_NA_2_2002_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",10,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,2,2003,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_2_2003","300_Vis_31.719494_-116.650333_NA_2_2003_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",10,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,2,2004,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_2_2004","300_Vis_31.719494_-116.650333_NA_2_2004_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",9,1
"Ibarra-Obando et al 2009","300_Vis","Tidal",31.719494,-116.650333,NA,NA,2,2005,NA,NA,NA,"plant","grasses","300_Vis_31.719494_-116.650333_NA_2_2005","300_Vis_31.719494_-116.650333_NA_2_2005_Tidal","semi-permanent","control",0.25,"m^2",NA,"marine","richness",10,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,1985,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_1985","300_Vis_31.718308_-116.65103_NA_9_1985_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",8,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,1986,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_1986","300_Vis_31.718308_-116.65103_NA_9_1986_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",3,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,2001,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_2001","300_Vis_31.718308_-116.65103_NA_9_2001_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",3,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,2002,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_2002","300_Vis_31.718308_-116.65103_NA_9_2002_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,2003,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_2003","300_Vis_31.718308_-116.65103_NA_9_2003_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,2004,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_2004","300_Vis_31.718308_-116.65103_NA_9_2004_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,9,2005,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_9_2005","300_Vis_31.718308_-116.65103_NA_9_2005_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,2,1985,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_2_1985","300_Vis_31.718308_-116.65103_NA_2_1985_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",6,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,2,1986,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_2_1986","300_Vis_31.718308_-116.65103_NA_2_1986_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",5,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,2,2002,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_2_2002","300_Vis_31.718308_-116.65103_NA_2_2002_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,2,2003,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_2_2003","300_Vis_31.718308_-116.65103_NA_2_2003_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,2,2004,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_2_2004","300_Vis_31.718308_-116.65103_NA_2_2004_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Ibarra-Obando et al 2009","300_Vis","Non-tidal",31.718308,-116.65103,NA,NA,2,2005,NA,NA,NA,"plant","grasses","300_Vis_31.718308_-116.65103_NA_2_2005","300_Vis_31.718308_-116.65103_NA_2_2005_Non-tidal","semi-permanent","control",0.25,"m^2","Salt marsh diked and cut off from tidal influx","marine","richness",4,1
"Birchenough et al, 2010","303_Drdg","I1",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_I1","permanent","control",0.1,"m^2","Aggregate extraction site","marine","richness",30.64102564,1
"Birchenough et al, 2010","303_Drdg","I2",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_I2","permanent","control",0.1,"m^2","Aggregate extraction site","marine","richness",5.961538462,1
"Birchenough et al, 2010","303_Drdg","I3",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_I3","permanent","control",0.1,"m^2","Aggregate extraction site","marine","richness",36.92307692,1
"Birchenough et al, 2010","303_Drdg","I4",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_I4","permanent","control",0.1,"m^2","Aggregate extraction site","marine","richness",40.96153846,1
"Birchenough et al, 2010","303_Drdg","I5",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_I5","permanent","control",0.1,"m^2","Aggregate extraction site","marine","richness",26.6025641,1
"Birchenough et al, 2010","303_Drdg","U1",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U1","permanent","control",0.1,"m^2",NA,"marine","richness",60.70512821,1
"Birchenough et al, 2010","303_Drdg","U2",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U2","permanent","control",0.1,"m^2",NA,"marine","richness",59.80769231,1
"Birchenough et al, 2010","303_Drdg","U3",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U3","permanent","control",0.1,"m^2",NA,"marine","richness",38.71794872,1
"Birchenough et al, 2010","303_Drdg","U4",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U4","permanent","control",0.1,"m^2",NA,"marine","richness",40.96153846,1
"Birchenough et al, 2010","303_Drdg","U5",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U5","permanent","control",0.1,"m^2",NA,"marine","richness",23.01282051,1
"Birchenough et al, 2010","303_Drdg","U6",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U6","permanent","control",0.1,"m^2",NA,"marine","richness",36.92307692,1
"Birchenough et al, 2010","303_Drdg","U7",50.6179,-0.390931,NA,NA,NA,2003,NA,NA,NA,"Mixed","mussels, crabs, polychaetes","303_Drdg_50.6179_-0.390931_NA_NA_2003","303_Drdg_50.6179_-0.390931_NA_NA_2003_U7","permanent","control",0.1,"m^2",NA,"marine","richness",19.42307692,1
"Whanpetch et al, 2010","304_Drdg","K2 non-veg",9.223611,98.327778,NA,NA,1,2001,NA,NA,NA,"Mixed","polychaetes, gastropods","304_Drdg_9.223611_98.327778_NA_1_2001","304_Drdg_9.223611_98.327778_NA_1_2001_K2 non-veg","permanent","control",0.00254,"m^3","Tsunami","marine","richness",6.666666667,1
"Whanpetch et al, 2010","304_Drdg","K2 non-veg",9.223611,98.327778,NA,NA,2,2005,NA,NA,NA,"Mixed","polychaetes, gastropods","304_Drdg_9.223611_98.327778_NA_2_2005","304_Drdg_9.223611_98.327778_NA_2_2005_K2 non-veg","permanent","control",0.00254,"m^3","Tsunami","marine","richness",1.006289308,1
"Whanpetch et al, 2010","304_Drdg","K2 veg",9.223611,98.327778,NA,NA,1,2001,NA,NA,NA,"Mixed","polychaetes, gastropods","304_Drdg_9.223611_98.327778_NA_1_2001","304_Drdg_9.223611_98.327778_NA_1_2001_K2 veg","permanent","control",0.00254,"m^3","Tsunami","marine","richness",9.182389937,1
"Whanpetch et al, 2010","304_Drdg","K2 veg",9.223611,98.327778,NA,NA,2,2005,NA,NA,NA,"Mixed","polychaetes, gastropods","304_Drdg_9.223611_98.327778_NA_2_2005","304_Drdg_9.223611_98.327778_NA_2_2005_K2 veg","permanent","control",0.00254,"m^3","Tsunami","marine","richness",15.59748428,1
"Whanpetch et al, 2010","304_Drdg","K3 non-veg",9.250556,98.341667,NA,NA,1,2001,NA,NA,NA,"Mixed","polychaetes, gastropods","304_Drdg_9.250556_98.341667_NA_1_2001","304_Drdg_9.250556_98.341667_NA_1_2001_K3 non-veg","permanent","control",0.00254,"m^3","Tsunami","marine","richness",10.44025157,1
"Whanpetch et al, 2010","304_Drdg","K3 non-veg",9.250556,98.341667,NA,NA,2,2005,NA,NA,NA,"Mixed","polychaetes, gastropods","304_Drdg_9.250556_98.341667_NA_2_2005","304_Drdg_9.250556_98.341667_NA_2_2005_K3 non-veg","permanent","control",0.00254,"m^3","Tsunami","marine","richness",3.522012579,1
"Kilfoyle et al, 2013","67_Vis","N",26.01763679,-80.11303855,NA,NA,8,2004,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.01763679_-80.11303855_NA_8_2004","67_Vis_26.01763679_-80.11303855_NA_8_2004_N","permanent","control",1500,"m^2",NA,"marine","richness",48,23
"Kilfoyle et al, 2013","67_Vis","N",26.01763679,-80.11303855,NA,NA,8,2005,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.01763679_-80.11303855_NA_8_2005","67_Vis_26.01763679_-80.11303855_NA_8_2005_N","permanent","control",1500,"m^2",NA,"marine","richness",49,23
"Kilfoyle et al, 2013","67_Vis","N",26.01763679,-80.11303855,NA,NA,8,2006,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.01763679_-80.11303855_NA_8_2006","67_Vis_26.01763679_-80.11303855_NA_8_2006_N","permanent","control",1500,"m^2",NA,"marine","richness",45,23
"Kilfoyle et al, 2013","67_Vis","N",26.01763679,-80.11303855,NA,NA,8,2007,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.01763679_-80.11303855_NA_8_2007","67_Vis_26.01763679_-80.11303855_NA_8_2007_N","permanent","control",1500,"m^2",NA,"marine","richness",60,23
"Kilfoyle et al, 2013","67_Vis","B",26.04368781,-80.11084656,NA,NA,8,2004,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.04368781_-80.11084656_NA_8_2004","67_Vis_26.04368781_-80.11084656_NA_8_2004_B","permanent","control",1500,"m^2","Mitigation boulders added to beach. Testing whether these boulders are a suitable replacement for a natural reef","marine","richness",56,23
"Kilfoyle et al, 2013","67_Vis","B",26.04368781,-80.11084656,NA,NA,8,2005,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.04368781_-80.11084656_NA_8_2005","67_Vis_26.04368781_-80.11084656_NA_8_2005_B","permanent","control",1500,"m^2","Mitigation boulders added to beach. Testing whether these boulders are a suitable replacement for a natural reef","marine","richness",65,23
"Kilfoyle et al, 2013","67_Vis","B",26.04368781,-80.11084656,NA,NA,8,2006,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.04368781_-80.11084656_NA_8_2006","67_Vis_26.04368781_-80.11084656_NA_8_2006_B","permanent","control",1500,"m^2","Mitigation boulders added to beach. Testing whether these boulders are a suitable replacement for a natural reef","marine","richness",63,23
"Kilfoyle et al, 2013","67_Vis","B",26.04368781,-80.11084656,NA,NA,8,2007,NA,NA,NA,"fish","fishes, including small cryptic fish","67_Vis_26.04368781_-80.11084656_NA_8_2007","67_Vis_26.04368781_-80.11084656_NA_8_2007_B","permanent","control",1500,"m^2","Mitigation boulders added to beach. Testing whether these boulders are a suitable replacement for a natural reef","marine","richness",68,23
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,1991,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_1991","126_Trwl_54.66516293_1.304702729_NA_6_1991_All Sites","permanent","control",68524,"m",NA,"marine","richness",61.12871287,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,1994,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_1994","126_Trwl_54.66516293_1.304702729_NA_6_1994_All Sites","permanent","control",68524,"m",NA,"marine","richness",84.11881188,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,1995,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_1995","126_Trwl_54.66516293_1.304702729_NA_6_1995_All Sites","permanent","control",68524,"m",NA,"marine","richness",72.17821782,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,1996,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_1996","126_Trwl_54.66516293_1.304702729_NA_6_1996_All Sites","permanent","control",68524,"m",NA,"marine","richness",62.1980198,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,1997,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_1997","126_Trwl_54.66516293_1.304702729_NA_6_1997_All Sites","permanent","control",68524,"m",NA,"marine","richness",64.15841584,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,1999,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_1999","126_Trwl_54.66516293_1.304702729_NA_6_1999_All Sites","permanent","control",68524,"m",NA,"marine","richness",68.07920792,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,2001,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_2001","126_Trwl_54.66516293_1.304702729_NA_6_2001_All Sites","permanent","control",68524,"m",NA,"marine","richness",64.15841584,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,2002,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_2002","126_Trwl_54.66516293_1.304702729_NA_6_2002_All Sites","permanent","control",68524,"m",NA,"marine","richness",44.01980198,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,2003,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_2003","126_Trwl_54.66516293_1.304702729_NA_6_2003_All Sites","permanent","control",68524,"m",NA,"marine","richness",71.28712871,38
"Sonnewald et al, 2011","126_Trwl","All Sites",54.66516293,1.304702729,NA,NA,6,2006,NA,NA,NA,"Mixed","fishes, including small cryptic fish","126_Trwl_54.66516293_1.304702729_NA_6_2006","126_Trwl_54.66516293_1.304702729_NA_6_2006_All Sites","permanent","control",68524,"m",NA,"marine","richness",55.06930693,38
"Gallegos et al, 2010","311_Trwl","All 7 stations",38.86397125,-76.49292237,NA,NA,2,1988,NA,NA,NA,"phytoplankton","phytoplankton","311_Trwl_38.86397125_-76.49292237_NA_2_1988","311_Trwl_38.86397125_-76.49292237_NA_2_1988_All 7 stations","permanent","control",1e-06,"m^3",NA,"marine","richness",17.52808989,7
"Gallegos et al, 2010","311_Trwl","All 7 stations",38.86397125,-76.49292237,NA,NA,2,1989,NA,NA,NA,"phytoplankton","phytoplankton","311_Trwl_38.86397125_-76.49292237_NA_2_1989","311_Trwl_38.86397125_-76.49292237_NA_2_1989_All 7 stations","permanent","control",1e-06,"m^3",NA,"marine","richness",21.46067416,7
"Gallegos et al, 2010","311_Trwl","All 7 stations",38.86397125,-76.49292237,NA,NA,2,1990,NA,NA,NA,"phytoplankton","phytoplankton","311_Trwl_38.86397125_-76.49292237_NA_2_1990","311_Trwl_38.86397125_-76.49292237_NA_2_1990_All 7 stations","permanent","control",1e-06,"m^3",NA,"marine","richness",21.91011236,7
"Gallegos et al, 2010","311_Trwl","All 7 stations",38.86397125,-76.49292237,NA,NA,2,1991,NA,NA,NA,"phytoplankton","phytoplankton","311_Trwl_38.86397125_-76.49292237_NA_2_1991","311_Trwl_38.86397125_-76.49292237_NA_2_1991_All 7 stations","permanent","control",1e-06,"m^3",NA,"marine","richness",21.34831461,7
