"","QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori.","Year.of.Event","Notes","Source","Site","n1","n2","sub1","sub2","I1","I2","ind1_error","ind1_error_type","ind2_error","ind2_error_type","P1","P2","PltSz","PltSz..units.","T1","T1m","T2","T2m","SppR1","SppR1.Error","SppR1.Error.Type","SppR2","SppR2.Error","SppR2.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even1","Even1.Error","Even1.Error.Type","Even2","Even2.Error","Even2.Error.Type","event_category","expected_change","event_notes","SppR1.SD","SppR2.SD","Shan1.SD","Shan2.SD","Simps1.SD","Simps2.SD","Even1.SD","Even2.SD","PlotSize","PlotSizeUnits","id","taxa","samp_method","date1","date2"
"233","JD","181","Diez et al. 2011","DA",NA,NA,NA,"rocky subtidal","Cantabrian Sea, Bay of Biscay","No",NA,"Yes",NA,"A priori expectation that SST increases may affect algal community","Figure 5","Ea (EA)",20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"m^2",1991,"8",2008,"8",8.374404105,0.704044521,"SE",18.65992972,1.282294577,"SE",1.164750958,0.045372051,"SE",1.825166364,0.083182093,"SE",0.611313742,0.021457451,"SE",0.770379047,0.020818759,"SE",0.575978682,0.028553508,"SE",0.633721192,0.017133627,"SE",NA,NA,"",3.14858281628456,5.73459568270268,0.202909980629175,0.372001628917419,0.0959606381197417,0.0931043206623711,0.127695169768168,0.0766239093462516,1,"m^2",233,"algae","Vis",1991-08-01,2008-08-01
"234","JD","181","Diez et al. 2011","DA",NA,NA,NA,"rocky subtidal","Cantabrian Sea, Bay of Biscay","No",NA,"Yes",NA,"A priori expectation that SST increases may affect algal community","Figure 5","Ogeia (OG)",20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"m^2",1991,"8",2008,"8",14.74144258,1.220072536,"SE",20.43400172,0.98565933,"SE",1.479834644,0.09830611,"SE",1.762149627,0.083182093,"SE",0.645705887,0.029028249,"SE",0.744806096,0.020191288,"SE",0.559556657,0.029823546,"SE",0.593189367,0.026648926,"SE",NA,NA,"",5.45633025595312,4.4080025290738,0.439638289127144,0.372001628917419,0.129818276063581,0.0902981850425516,0.133374952372184,0.119177620126723,1,"m^2",234,"algae","Vis",1991-08-01,2008-08-01
"235","JD","181","Diez et al. 2011","DA",NA,NA,NA,"rocky subtidal","Cantabrian Sea, Bay of Biscay","No",NA,"Yes",NA,"A priori expectation that SST increases may affect algal community","Figure 5","Santa Catalina (CA)",20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"m^2",1991,"8",2008,"8",10.22963046,0.902498304,"SE",25.32414999,2.660323612,"SE",1.096692882,0.173926195,"SE",2.049505949,0.126033474,"SE",0.524181304,0.056816518,"SE",0.800655692,0.022719874,"SE",0.470163077,0.057107015,"SE",0.644028006,0.022208072,"SE",NA,NA,"",4.03609511464454,11.8973288771596,0.777821590175768,0.563638830608905,0.254091192985681,0.10160636540846,0.2553903350642,0.0993175172824194,1,"m^2",235,"algae","Vis",1991-08-01,2008-08-01
"236","JD","181","Diez et al. 2011","DA",NA,NA,NA,"rocky subtidal","Cantabrian Sea, Bay of Biscay","No",NA,"Yes",NA,"A priori expectation that SST increases may affect algal community","Figure 5","Egiluz (EG)",20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"m^2",1991,"8",2008,"8",13.84943435,0.615129785,"SE",19.40376579,0.943282866,"SE",1.179874975,0.080661424,"SE",2.014216576,0.042851381,"SE",0.512491266,0.030298153,"SE",0.812947952,0.00820575,"SE",0.458183809,0.029822595,"SE",0.687888568,0.014594501,"SE",NA,NA,"",2.75094402848966,4.21848922077365,0.360728854451866,0.191637201691486,0.135497459401378,0.0366972296127378,0.133370699370891,0.0652685926673773,1,"m^2",236,"algae","Vis",1991-08-01,2008-08-01
"237","JD","181","Diez et al. 2011","DA",NA,NA,NA,"rocky subtidal","Cantabrian Sea, Bay of Biscay","No",NA,"Yes",NA,"A priori expectation that SST increases may affect algal community","Figure 5","Ondarroa (ON)",20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"m^2",1991,"8",2008,"8",13.40333106,0.630772382,"SE",22.19498772,0.901078587,"SE",1.099213551,0.065537407,"SE",1.873059084,0.063016737,"SE",0.532361805,0.032180566,"SE",0.764016435,0.014514125,"SE",0.428439224,0.020938034,"SE",0.611185859,0.021573529,"SE",NA,NA,"",2.82089984896293,4.02974594720292,0.293092194242141,0.281819415304452,0.143915866260837,0.0649091402678583,0.0936377346784037,0.0964797547171261,1,"m^2",237,"algae","Vis",1991-08-01,2008-08-01
"238","JD","298","Moreira et al 2010","JD",0.5,"mm","benthic polychaetes, molluscs, crustaceans","subtidal mudflat","Ensenada de Baiona","Yes","Harbour breakwater built","Yes","1970","In the 70's a breakwater was built and was assumed to change the sediment particle size. Recorded as 1970 because not date given. Mesh size because samples were filtered after van veen grab. Number of individuals is an average (rounded down)","Figure 3","No name",5,5,1,1,211.3978495,125.5913978,"16.15739442","SD","10.77159628","SD",NA,NA,0.056,"m^2",1996,"3",1997,"3",26.42633229,0.226600985,"SE",22.6645768,1.630094044,"SE",3.216356919,0.226600985,"SE",3.423239476,0.128064823,"SE",NA,NA,NA,NA,NA,NA,0.695344907,0.026987952,"SE",0.768600662,0.032773826,"SE","Coastal Modification","Negative","",0.50669520622841,3.64500109210153,0.50669520622841,0.286361649754479,NA,NA,0.0603468952455014,0.07328450281875,0.056,"m^2",238,"Mixed","Drdg",1996-03-01,1997-03-01
"239","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1986,"9",2001,"9",9,NA,NA,5.803,NA,NA,10,NA,NA,4.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",239,"plant","Vis",1986-09-01,2001-09-01
"240","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2001,"9",2002,"9",10,NA,NA,10,NA,NA,4.369,NA,NA,6.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",240,"plant","Vis",2001-09-01,2002-09-01
"241","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2002,"9",2003,"9",10,NA,NA,10,NA,NA,6.159,NA,NA,5.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",241,"plant","Vis",2002-09-01,2003-09-01
"242","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2003,"9",2004,"9",10,NA,NA,11,NA,NA,5.731,NA,NA,6.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",242,"plant","Vis",2003-09-01,2004-09-01
"243","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2004,"9",2005,"9",11,NA,NA,11,NA,NA,6.769,NA,NA,6.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",243,"plant","Vis",2004-09-01,2005-09-01
"244","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1985,"9",1986,"9",11,NA,NA,9,NA,NA,6.778,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",244,"plant","Vis",1985-09-01,1986-09-01
"245","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2005,"9",2006,"9",11,NA,NA,10,NA,NA,6.498,NA,NA,7.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",245,"plant","Vis",2005-09-01,2006-09-01
"246","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1986,"2",2002,"2",9,NA,NA,10,NA,NA,4.547,NA,NA,6.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",246,"plant","Vis",1986-02-01,2002-02-01
"247","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2002,"2",2003,"2",10,NA,NA,10,NA,NA,6.722,NA,NA,4.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",247,"plant","Vis",2002-02-01,2003-02-01
"248","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2003,"2",2004,"2",10,NA,NA,9,NA,NA,4.891,NA,NA,4.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",248,"plant","Vis",2003-02-01,2004-02-01
"249","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2004,"2",2005,"2",9,NA,NA,10,NA,NA,4.798,NA,NA,6.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",249,"plant","Vis",2004-02-01,2005-02-01
"250","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","No",NA,"No",NA,"Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2005,"2",2007,"2",10,NA,NA,10,NA,NA,6.263,NA,NA,5.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",250,"plant","Vis",2005-02-01,2007-02-01
"251","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1985,"9",1986,"9",8,NA,NA,3,NA,NA,3.626,NA,NA,2.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",251,"plant","Vis",1985-09-01,1986-09-01
"252","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1986,"9",2001,"9",3,NA,NA,3,NA,NA,2.674,NA,NA,2.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",252,"plant","Vis",1986-09-01,2001-09-01
"253","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2001,"9",2002,"9",3,NA,NA,4,NA,NA,2.076,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",253,"plant","Vis",2001-09-01,2002-09-01
"254","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2002,"9",2003,"9",4,NA,NA,4,NA,NA,3.15,NA,NA,2.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",254,"plant","Vis",2002-09-01,2003-09-01
"255","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2003,"9",2004,"9",4,NA,NA,4,NA,NA,2.521,NA,NA,3.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",255,"plant","Vis",2003-09-01,2004-09-01
"256","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2004,"9",2005,"9",4,NA,NA,4,NA,NA,3.055,NA,NA,2.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",256,"plant","Vis",2004-09-01,2005-09-01
"257","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2005,"9",2006,"9",4,NA,NA,5,NA,NA,2.873,NA,NA,3.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",257,"plant","Vis",2005-09-01,2006-09-01
"258","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1985,"2",1986,"2",6,NA,NA,5,NA,NA,3.939,NA,NA,3.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",258,"plant","Vis",1985-02-01,1986-02-01
"259","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",1986,"2",2002,"2",5,NA,NA,4,NA,NA,3.002,NA,NA,2.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",259,"plant","Vis",1986-02-01,2002-02-01
"260","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2002,"2",2003,"2",4,NA,NA,4,NA,NA,2.307,NA,NA,2.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",260,"plant","Vis",2002-02-01,2003-02-01
"261","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2003,"2",2004,"2",4,NA,NA,4,NA,NA,2.362,NA,NA,3.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",261,"plant","Vis",2003-02-01,2004-02-01
"262","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2004,"2",2005,"2",4,NA,NA,4,NA,NA,3.509,NA,NA,3.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",262,"plant","Vis",2004-02-01,2005-02-01
"263","JD","300","Ibarra-Obando et al 2009","JD",NA,NA,"grasses","salt marsh","Estero de Punta Bandera, Mexico","Yes","Salt marsh diked and cut off from tidal influx","Yes","1983","Comparison between tidal marsh area and a non-tidal area that has been cut off from the ocean. Percent covers of all species are included but they are averages over all the sites","Table 1","Non-tidal",20,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",2005,"2",2007,"2",4,NA,NA,4,NA,NA,3.759,NA,NA,3.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tidal restriction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.25,"m^2",263,"plant","Vis",2005-02-01,2007-02-01
"264","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","Yes","Aggregate extraction site","Yes","2003, 2004","Current aggregate extraction. Not stated when originally began.","Figure 6","I1",1,1,1,1,47.62589928,70.07194245,"3.45323741",NA,"3.45323741",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,30.64102564,3.58974359,NA,36.92307692,2.692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aggregate extraction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",264,"Mixed","Drdg",2003-01-01,2004-01-01
"265","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","Yes","Aggregate extraction site","Yes","2003, 2004","Current aggregate extraction. Not stated when originally began.","Figure 6","I2",1,1,1,1,22.58992806,60.57553957,"8.633093525",NA,"8.633093525",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,5.961538462,8.525641026,NA,39.61538462,8.076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aggregate extraction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",265,"Mixed","Drdg",2003-01-01,2004-01-01
"266","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","Yes","Aggregate extraction site","Yes","2003, 2004","Current aggregate extraction. Not stated when originally began.","Figure 6","I3",1,1,1,1,75.25179856,17.41007194,"9.496402878",NA,"1.726618705",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,36.92307692,9.423076923,NA,16.73076923,0.448717949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aggregate extraction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",266,"Mixed","Drdg",2003-01-01,2004-01-01
"267","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","Yes","Aggregate extraction site","Yes","2003, 2004","Current aggregate extraction. Not stated when originally began.","Figure 6","I4",1,1,1,1,58.84892086,14.82014388,"2.589928058",NA,"3.45323741",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,40.96153846,1.794871795,NA,8.653846154,3.141025641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aggregate extraction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",267,"Mixed","Drdg",2003-01-01,2004-01-01
"268","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","Yes","Aggregate extraction site","Yes","2003, 2004","Current aggregate extraction. Not stated when originally began.","Figure 6","I5",1,1,1,1,34.67625899,70.07194245,"0.863309353",NA,"3.45323741",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,26.6025641,0.897435897,NA,41.85897436,3.141025641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aggregate extraction","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",268,"Mixed","Drdg",2003-01-01,2004-01-01
"269","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","No",NA,"No",NA,NA,"Figure 6","U1",1,1,1,1,92.51798561,62.30215827,"3.45323741",NA,"6.043165468",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,60.70512821,3.58974359,NA,36.92307692,5.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",269,"Mixed","Drdg",2003-01-01,2004-01-01
"270","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","No",NA,"No",NA,NA,"Figure 6","U2",1,1,1,1,89.92805755,122.7338129,"4.316546763",NA,"5.179856115",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,59.80769231,3.58974359,NA,62.94871795,5.384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",270,"Mixed","Drdg",2003-01-01,2004-01-01
"271","JD","303","Birchenough et al, 2010","JD",NA,NA,"mussels, crabs, polychaetes","subtidal mudflat","Owers Bank, English Channel","No",NA,"No",NA,NA,"Figure 6","U3",1,1,1,1,55.39568345,89.92805755,"0.863309353",NA,"3.45323741",NA,NA,NA,0.1,"m^2",2003,NA,2004,NA,38.71794872,0.897435897,NA,54.87179487,2.692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.1,"m^2",271,"Mixed","Drdg",2003-01-01,2004-01-01
