"QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori","Year.of.Event","Notes","Source","Site","PltSz","PltSz..units.","event_category","expected_change","event_notes","PlotSize","PlotSizeUnits","id","taxa","samp_method","n1","sub1","I1","P1","T1","T1m","SppR1","Shan1","Simps1","Even1","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","Ind1.SD","n2","sub2","I2","P2","T2","T2m","SppR2","Shan2","Simps2","Even2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Ind2.SD","Duration","yi_SppR_MD","vi_SppR_MD","yi_SppR_SMD","vi_SppR_SMD","yi_SppR_ROM","vi_SppR_ROM","yi_SppR_SMDH","vi_SppR_SMDH","yi_Shan_MD","vi_Shan_MD","yi_Shan_SMD","vi_Shan_SMD","yi_Shan_ROM","vi_Shan_ROM","yi_Shan_SMDH","vi_Shan_SMDH","yi_Even_MD","vi_Even_MD","yi_Even_SMD","vi_Even_SMD","yi_Even_ROM","vi_Even_ROM","yi_Even_SMDH","vi_Even_SMDH","temp_id","Scale","AbundUnitsOrig","study_sub_site","studyName","SiAreaCalc","SiLinearExtentUnits","site_id","mean_imps","mean_invs","mean_nuts","mean_pests","total_ltc","total_vocc","sliced_ltc","sliced_vocc"
"Y","307","Hernandez et al 2010","MH",202,"um","ichthyoplankton","coastal shelf","Dauphin Island, AL","No",NA,NA,NA,"Icthyoplankton counted every month","Figure 2","only",0.25,"m^2",NA,NA,NA,0.25,"m^2",157,"Mixed","Trwl",8,NA,NA,NA,2004,8,NA,1.588380661,NA,NA,NA,0.171545208202435,NA,NA,NA,8,NA,NA,NA,2006,8,NA,1.987005591,NA,NA,NA,0.13525499478242,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0.39862493,0.00596520900885114,2.43941476525453,0.435960762404432,0.223913732299312,0.00203718818328956,2.43941476525453,0.455549681336606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"307_only",2.34655332565308,0,0.00233936618315056,0,-0.0667540978881144,-23.5796477705308,-0.0270096460978513,-10.4269911417535
"Y","309","Shan et al 2010","MH",24,"mm","fish","nearshore subtidal","China, Changjiang Estuary","No",NA,"No",NA,"Unclear if T1 survey is from exact same location or just in the estuary. Also mean SppR is reported but no error","Table 1","All",77045760,"mm^3",NA,NA,NA,0.07704576,"m^3",158,"fish","Drdg",1,32,NA,NA,1985,1,2.04,NA,NA,NA,NA,NA,NA,NA,NA,1,32,NA,NA,2006,1,4.57,NA,NA,NA,NA,NA,NA,NA,NA,21,2.53,NA,NA,NA,0.806563397049988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"309_All",5.00329618776838,0,6.19112615822814e-05,0,0.165916198988727,18.4217232081835,0.542379776441837,60.627115199833
"JD","311","Gallegos et al, 2010","JD",NA,NA,"phytoplankton","pelagic","Rhode River, Chesapeake Bay, Maryland","No",NA,"No",NA,"Shannon only calculated for abundant species. Assumed that sampled/counted volume was 1 mL. Estuarine. It also looks like diversity is an average for each year and spans 7 sites from 1.4 km downstream to 6.4 km upstream in the estuary.","Figure 3","All 7 stations",1,"ml",NA,NA,NA,1e-06,"m^3",159,"phytoplankton","Trwl",7,1,NA,NA,1988,2,17.52808989,0.884244373,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,2005,2,16.17977528,1.390675241,NA,NA,NA,NA,NA,NA,NA,17,-1.34831461,NA,NA,NA,-0.0800427078637073,NA,NA,NA,0.506430868,NA,NA,NA,0.452811228581159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311_All 7 stations",5.32717490196228,95.296391805013,0.751763287044707,0.0160316631552719,0.0596262518138556,7.77970057273127,0.230116986268812,28.6267977137957
"JD","319","Stefansdottir et al","JD",40,"mm","pelagic and semi-pelagic fishes","pelagic","Icelandic continental shelf and slope","No",NA,"No",NA,"Capelin excluded because of inconsistent sampling, Myctophidae excluded because of uncertainty of IDs, and Paralepididae were combined to family level. Lat/Long falls in the middle of Iceland because that is the centroid of the coastal sampling area. Some data taken from the original masters thesis this paper came from: See Stefansdottir 2008. Approximation of trawled volume. Assumed trawl to be spherical (only vertical height 4-6 m given) towed for an average of 3 nm = 5556 m.","Appendix","All 264 stations",115142544,"m^3",NA,NA,NA,115142544,"m^3",160,"fish","Trwl",1,264,NA,NA,1998,10,100,NA,NA,NA,NA,NA,NA,NA,NA,1,264,NA,NA,2007,10,116,NA,NA,NA,NA,NA,NA,NA,NA,9,16,NA,NA,NA,0.148420005118273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"319_All 264 stations",4.90163344990573,5.1384061665246,0.00439704643986202,8.11883319856088e-07,0.00508984330821961,0.468884246113434,0.353308753312414,40.3072111196403
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","FG",250,"m^2",NA,NA,NA,250,"m^2",161,"fish","Vis",4,NA,33.52342623,NA,1994,1,12.72132717,NA,NA,NA,2.00031903,NA,NA,NA,NA,4,NA,34.4938559,NA,2006,1,13.69755942,NA,NA,NA,2.542670282,NA,NA,NA,NA,12,0.976232249999999,2.61661209618653,0.370682129173813,0.508587827555552,0.0739377827055377,0.0147957850682139,0.370682129173813,0.512126489107325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_FG",2.15255844593048,0,1.58048611879349,0.0247064060531557,0.0847645630878467,35.1017242788977,0.162033152667596,60.3964810480837
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","KG",250,"m^2",NA,NA,NA,250,"m^2",162,"fish","Vis",4,NA,58.2865511,NA,1994,1,22.81544106,NA,NA,NA,3.451906206,NA,NA,NA,NA,4,NA,49.89582139,NA,2006,1,19.15137981,NA,NA,NA,1.636624662,NA,NA,NA,NA,12,-3.66406125,3.64854918482198,-1.17820481444084,0.586760411548223,-0.175062780438418,0.00754842662185213,-1.17820481444084,0.625256062583121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_KG",2.86107802391052,0,3.81337777071167e-05,0,0.122041947122427,53.9099506725972,0.428396432827679,136.634782159793
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","KI",250,"m^2",NA,NA,NA,250,"m^2",163,"fish","Vis",4,NA,24.54146899,NA,1994,1,9.542191737,NA,NA,NA,4.913064284,NA,NA,NA,NA,4,NA,26.25777015,NA,2006,1,9.515074175,NA,NA,NA,3.636943692,NA,NA,NA,NA,12,-0.027117561999999,9.34139001937375,-0.00544958034609125,0.500001856120372,-0.00284590459383858,0.102799711033098,-0.00544958034609125,0.503010241706866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_KI",2.84152001142502,0,0.0454765874892473,0.000653570241411217,0.126273748231579,52.335309045007,0.420127216276226,116.062698900531
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","N",250,"m^2",NA,NA,NA,250,"m^2",164,"fish","Vis",4,NA,43.89610279,NA,1994,1,16.90381241,NA,NA,NA,2.545860584,NA,NA,NA,NA,4,NA,38.97902494,NA,2006,1,15.05981815,NA,NA,NA,10.66549689,NA,NA,NA,NA,12,-1.84399426,30.0585575059411,-0.206582566194371,0.502667272290966,-0.115509035613133,0.131060695464886,-0.206582566194371,0.507827451181166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_N",2.86107802391052,0,3.81337777071167e-05,0,0.122041947122427,53.9099506725972,0.428396432827679,136.634782159793
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","NE",250,"m^2",NA,NA,NA,250,"m^2",165,"fish","Vis",4,NA,31.49114947,NA,1994,1,13.17434998,NA,NA,NA,1.454777476,NA,NA,NA,NA,4,NA,34.09821688,NA,2006,1,13.322699,NA,NA,NA,2.016270538,NA,NA,NA,NA,12,0.148349019999999,1.54543109677094,0.0732956210468609,0.50033576550404,0.0111975163847725,0.00877444392961184,0.0732956210468609,0.503379577045747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_NE",2.15255844593048,0,1.58048611879349,0.0247064060531557,0.0847645630878467,35.1017242788977,0.162033152667596,60.3964810480837
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","SE",250,"m^2",NA,NA,NA,250,"m^2",166,"fish","Vis",4,NA,30.77289545,NA,1994,1,12.08326687,NA,NA,NA,2.552241186,NA,NA,NA,NA,4,NA,34.5777315,NA,2006,1,13.96235444,NA,NA,NA,2.00031903,NA,NA,NA,NA,12,1.87908757,2.62880282332371,0.711846221630483,0.5316703152031,0.14454314707018,0.0162848175620055,0.711846221630483,0.536688306413137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_SE",3.28957402706146,1858.83430989583,0.208756919950247,0.00317058857763186,0.0889722350743208,36.189479537696,0.307524182420947,100.331743294122
"Y","321","Stuart-Smith et al (2011)","PK",NA,NA,"Corals","coastal shelf","Tasmania, Austra.ia","No",NA,"Yes",NA,"A study that looked a fish, inverts, and algae on the Tasmanian coast in 1994 as well as in 2006. The study have many groups but only the data form the fish was really analyzed.","Figure 4 +5","W",250,"m^2",NA,NA,NA,250,"m^2",167,"fish","Vis",4,NA,16.74421835,NA,1994,1,5.812729303,NA,NA,NA,1.821662148,NA,NA,NA,NA,4,NA,20.25289842,NA,2006,1,6.970808741,NA,NA,NA,1.454777476,NA,NA,NA,NA,12,1.158079438,1.35870762153323,0.610229945352872,0.523273786637836,0.181681029634752,0.0354420859791673,0.610229945352872,0.527567443871742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321_W",2.84152001142502,0,0.0454765874892473,0.000653570241411217,0.126273748231579,52.335309045007,0.420127216276226,116.062698900531
"JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders","Figure 5","LB",1689,"m^3","Multiple","Uncertain","Positive from new habitat/new invaders?",1689,"m^3",168,"fish","Vis",10,NA,NA,NA,2005,1,43.98395722,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,2007,1,34.75935829,NA,NA,NA,NA,NA,NA,NA,NA,2,-9.22459893,NA,NA,NA,-0.235376119731481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"327_LB",2.56815906365712,0.0841526091098785,0.000583743225433864,1.06429688457865e-05,-0.0647382187281547,-19.6894175021602,3.22834253311153,992.43878414466
"JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Red Tide","Yes","2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months","Figure 5","Ref",1689,"m^3","Algal Blom","Negative",NA,1689,"m^3",169,"fish","Vis",10,NA,NA,NA,2005,1,25.13368984,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,2007,1,31.01604278,NA,NA,NA,NA,NA,NA,NA,NA,2,5.88235294,NA,NA,NA,0.210295408795202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"327_Ref",2.55044026921193,0.0414850457261006,0.000283427561043936,3.99111331716995e-06,-0.0647518589293928,-19.6444132177099,3.2430779933929,995.13400147511
"JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules","Figure 5","RM",1689,"m^3","Multiple","Uncertain","Positive from new habitat/new invaders?",1689,"m^3",170,"fish","Vis",10,NA,NA,NA,2005,1,30.88235294,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,2007,1,29.27807487,NA,NA,NA,NA,NA,NA,NA,NA,2,-1.60427807,NA,NA,NA,-0.05334598054117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"327_RM",2.53980899254481,0.0158845076958338,0.00010323816240998,0,-0.0647600430501356,-19.6174106470398,3.25191926956173,996.75113187338
"JD","329","Bui et al. 2010","JD",333,"_µm","ichthyoplankton","pelagic","Gulf of St. Lawrence","No",NA,"No",NA,"Calculated area based off of the assumption that all samples were 150 m long plankton tows, and that there were equal shallow and deep water tows in both years. Only one year had comparable plot size.","Table 2","Anticosti Island Coast",43.81,"m^3",NA,NA,NA,43.81,"m^3",171,"zooplankton","Trwl",1,24,NA,NA,2006,3,15,NA,NA,NA,NA,NA,NA,NA,NA,1,24,NA,NA,2007,3,15,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"329_Anticosti Island Coast",4.30493859450022,0,0.0120020745522803,0.000224621904433459,0.106352830097481,42.309160346418,-6.23604677341602,-2032.04612027088
"JD","334","Kedra et al. 2010","JD",NA,NA,"benthic macrofauna, e.g., worms, molluscs","subtidal mudflat","Kongsfjorden, Norway","No",NA,"No",NA,"What counts as an event? Resampling was done in 2006 to look for evidence of a change in community composition either 'natural' or climate driven. 1997 was used as the 'start' year because it looks like values for richness and Shannon were taken as the average of samples from 1997 and 1998. See data acquisition protocol. 1997/1998 data consists of 24 stations sampled with 3 replicate Van Veen grabs each. This is why n is so large for 1997.","Figure 4","CENTR",0.1,"m^2",NA,NA,NA,0.1,"m^2",172,"Mixed","Drdg",27,1,483.8724967,NA,1997,6,32.22006176,2.25,NA,NA,2.33005185816327,0.075030012244898,NA,NA,43.4450353214286,16,1,531.1292807,NA,2006,6,38.10964561,2.573529412,NA,NA,4.17802402142857,0.150060023979592,NA,NA,52.1026042857143,9,5.88958385,1.29207211603195,1.84395451428696,0.139073877162145,0.167878121139605,0.000944887249610166,1.70902300054852,0.17319363912204,0.323529412,0.00161587577618499,2.92243906249626,0.198846921618479,0.134348052622507,0.000253681698896394,2.67690375725647,0.270195990608098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334_CENTR",2.72734489420222,635.332201639811,0.000468465115247656,0,0.154510371810318,16.4612464975609,0.245623274463595,31.3675033522201
"JD","334","Kedra et al. 2010","JD",NA,NA,"benthic macrofauna, e.g., worms, molluscs","subtidal mudflat","Kongsfjorden, Norway","No",NA,"No",NA,"What counts as an event? Resampling was done in 2006 to look for evidence of a change in community composition either 'natural' or climate driven. 1997 was used as the 'start' year because it looks like values for richness and Shannon were taken as the average of samples from 1997 and 1998. See data acquisition protocol. 1997/1998 data consists of 24 stations sampled with 3 replicate Van Veen grabs each. This is why n is so large for 1997.","Figure 4","GLAC",0.1,"m^2",NA,NA,NA,0.1,"m^2",173,"Mixed","Drdg",30,1,534.9211992,NA,1997,6,15.25852261,1.5,NA,NA,1.36589246836735,0.0562725091836735,NA,NA,57.3987148979592,12,1,550.5391634,NA,2006,6,14.54372521,1.477941176,NA,NA,1.60693231581633,0.191326530612245,NA,NA,66.9752437244898,9,-0.7147974,0.27737469680599,-0.488294269028344,0.119505134442451,-0.047978563066878,0.00128443969691249,-0.470261511864256,0.133357033024268,-0.0220588239999999,0.00315603995267074,-0.194647954951476,0.117117712218652,-0.0148150861035485,0.00144345724821939,-0.153470507050887,0.167241330291104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334_GLAC",1.65578049090174,452.096983244925,0,0,0.0801114292588644,16.7917210297677,0.490285897796804,141.851504938697
"JD","334","Kedra et al. 2010","JD",NA,NA,"benthic macrofauna, e.g., worms, molluscs","subtidal mudflat","Kongsfjorden, Norway","No",NA,"No",NA,"What counts as an event? Resampling was done in 2006 to look for evidence of a change in community composition either 'natural' or climate driven. 1997 was used as the 'start' year because it looks like values for richness and Shannon were taken as the average of samples from 1997 and 1998. See data acquisition protocol. 1997/1998 data consists of 24 stations sampled with 3 replicate Van Veen grabs each. This is why n is so large for 1997.","Figure 4","TRANS",0.1,"m^2",NA,NA,NA,0.1,"m^2",174,"Mixed","Drdg",24,1,627.9890982,NA,1997,6,38.54488102,2.705882353,NA,NA,1.76762554744898,0.0600240096938775,NA,NA,45.3796876020408,11,1,641.3082119,NA,2006,6,49.63706303,2.580882353,NA,NA,3.69612860765306,0.150060023979592,NA,NA,66.9752437244898,9,11.09218201,1.37212992901292,4.31191660058064,0.398184682866656,0.252914490070474,0.000591694794365378,3.74098308459443,0.623388417035765,-0.125,0.00219721196310293,-1.26410912909861,0.155403927436764,-0.0472967147020122,0.000327830311928613,-1.06870206801024,0.217013997081427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334_TRANS",1.95923544218143,696.569463729858,8.74515438529973e-05,0,0.101521355074962,15.5856327595652,0.420477494489923,99.6781606361265
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.5/2)^2)*62 (depth was 62 m to surface). Sampling May - Sept therefore July used as month","Figure 3, Table 2","NH 05 50cm net summer",12.1675,"m^3",NA,NA,NA,12.1675,"m^3",175,"zooplankton","Trwl",8,0,300,NA,1996,6,10.63,NA,NA,NA,NA,NA,NA,NA,NA,8,0,300,NA,2008,6,8.94,NA,NA,NA,NA,NA,NA,NA,NA,12,-1.69,NA,NA,NA,-0.173144603168434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337_NH 05 50cm net summer",2.43892804781596,NA,0.110802275439103,0.00235354776183764,-0.00892686584613436,-5.41233583621591,-0.9279804002671,-530.273206856171
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.5/2)^2)*62 (depth was 62 m to surface). Sampling Oct - April therefore January used as month","Figure 3, Table 2","NH 05 50cm net winter",12.1675,"m^3",NA,NA,NA,12.1675,"m^3",176,"zooplankton","Trwl",16,0,300,NA,1997,1,12.5,NA,NA,NA,NA,NA,NA,NA,NA,12,0,300,NA,2008,1,11.08,NA,NA,NA,NA,NA,NA,NA,NA,11,-1.42,NA,NA,NA,-0.120586962989118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337_NH 05 50cm net winter",2.43892804781596,NA,0.110802275439103,0.00235354776183764,-0.00892686584613436,-5.41233583621591,-1.08381444201881,-631.309421480319
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.2/2)^2)*62 (depth was 62 m to surface). Sampling May - Sept therefore July used as month","Figure 3, Table 2","NH 05 75cm net summer",27.376875,"m^3",NA,NA,NA,27.376875,"m^3",177,"zooplankton","Trwl",5,0,300,NA,1990,6,6.8,NA,NA,NA,NA,NA,NA,NA,NA,5,0,300,NA,1992,6,8.67,NA,NA,NA,NA,NA,NA,NA,NA,2,1.87,NA,NA,NA,0.24294617861039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337_NH 05 75cm net summer",2.43892804781596,NA,0.110802275439103,0.00235354776183764,-0.00892686584613436,-5.41233583621591,1.07594172159829,613.896468362136
NA,"337","Peterson 2009","JD",333,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.75/2)^2)*62 (depth was 62 m to surface). Sampling Oct - April, therefore January used as mont","Figure 3, Table 2","NH 05 75cm net winter",27.376875,"m^3",NA,NA,NA,27.376875,"m^3",178,"zooplankton","Trwl",3,0,300,NA,1991,1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,2,0,300,NA,1992,1,11,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,NA,NA,NA,0.2578291093021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337_NH 05 75cm net winter",2.43892804781596,NA,0.110802275439103,0.00235354776183764,-0.00892686584613436,-5.41233583621591,7.50891208648684,3672.0093478132
NA,"337","Peterson 2009","JD",240,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.2/2)^2)*62 (depth was 62 m to surface). Sampling May - Sept therefore July used as month","Figure 3, Table 2","NH 05 bongo net summer",1.9468,"m^3",NA,NA,NA,1.9468,"m^3",179,"zooplankton","Trwl",7,0,300,NA,1969,6,7.89,NA,NA,NA,NA,NA,NA,NA,NA,7,0,300,NA,1983,6,16,NA,NA,NA,NA,NA,NA,NA,NA,14,8.11,NA,NA,NA,0.706992587381998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337_NH 05 bongo net summer",2.43892804781596,NA,0.110802275439103,0.00235354776183764,-0.00892686584613436,-5.41233583621591,0.565522069022769,347.301870462221
NA,"337","Peterson 2009","JD",240,"µm","zooplankton","pelagic","Newport, Oregon","No",NA,"No",NA,"Number of replicates from counting points per year from Figure 3. Gear changed, so each sampling methodology is included as it's own ""site"". Number of individuals counted between 200 - 400, used mean = 300 Plot size = 3.14 * ((0.2/2)^2)*62 (depth was 62 m to surface). Sampling Oct - April, therefore January used as month","Figure 3, Table 2","NH 05 bongo net winter",1.9468,"m^3",NA,NA,NA,1.9468,"m^3",180,"zooplankton","Trwl",7,0,300,NA,1969,1,9,NA,NA,NA,NA,NA,NA,NA,NA,8,0,300,NA,1971,1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.800000000000001,NA,NA,NA,0.085157808340307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337_NH 05 bongo net winter",2.43892804781596,NA,0.110802275439103,0.00235354776183764,-0.00892686584613436,-5.41233583621591,-2.51357952753703,-1411.14817315853
"Y","340","Birchenough and Frid 2009","MH",NA,NA,"macrobenthic inverts (e.g. polychaetes, molluscs)","subtidal mudflat","United Kingdom","Yes","Stopped disposal of sewer sludge the year before the study","No",NA,"Sites 5 and 7 were control, other two impacted",NA,"S 1",0.1,"m^2","Restoration","Positive",NA,0.1,"m^2",181,"Mixed","Drdg",5,NA,465.9182183,NA,1999,4,40.93333333,NA,NA,NA,5.66470554225411,NA,NA,NA,NA,5,NA,262.8696605,NA,2001,4,40.93333333,NA,NA,NA,6.26099033699941,NA,NA,NA,NA,2,0,14.2577777760889,0,0.4,0,0.00850937410514296,0,0.407436654315252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"340_S 1",5.82605516910553,6660.94055175781,10.2446827888489,0.146591424942017,0.128170009004813,73.3561213008057,0.510192513465841,233.896792465551
"Y","340","Birchenough and Frid 2009","MH",NA,NA,"macrobenthic inverts (e.g. polychaetes, molluscs)","subtidal mudflat","United Kingdom","Yes","Stopped disposal of sewer sludge the year before the study","No",NA,"Sites 5 and 7 were control, other two impacted",NA,"St 2",0.1,"m^2","Restoration","Positive",NA,0.1,"m^2",182,"Mixed","Drdg",5,NA,405.2939029,NA,1999,4,44.93333333,NA,NA,NA,2.08699677825445,NA,NA,NA,NA,5,NA,171.9423147,NA,2001,4,35.86666667,NA,NA,NA,5.06842074974488,NA,NA,NA,NA,2,-9.06666666,6.00888888977778,-2.11166783210491,0.622957051657333,-0.225371550583402,0.00442531986523068,-2.11166783210491,0.749040138057854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"340_St 2",6.3122181892395,9188.654296875,11.1702349980672,0.159910887479782,0.128170009004813,73.3561213008057,0.510192513465841,233.896792465551
